;Judul;album;Lirik
0;(D)eath;Life Is But A Dream…;"Watch your tongue or have it cut from your head
Save your life by keeping whispers unsaid
Children roam the streets, now orphans of war
Bodies hanging in the streets to adore

Royal flames will carve a path in chaos
Bringing daylight to the night (night)
Death is riding into town with armor
They've come to take all your rights

Hail to the king, hail to the one
Kneel to the crown, stand in the sun
Hail to the king

Hail!
Hail!
Hail!
The King...

Blood is spilt while holding keys to the throne
Born again, but it's too late to atone
No mercy from the edge of the blade
Dare escape and learn the price to be paid

Let the water flow with shades of red now
Arrows black out all the light (light)
Death is riding into town with armor
They've come to grant you your rights

Hail to the king, hail to the one
Kneel to the crown, stand in the sun
Hail to the king

Hail!
Hail!
Hail!
The King...

[Solo]

There's a taste of fear (hail, hail, hail)
When the henchmen call (hail, hail, hail)
Iron fist to tame the land (hail, hail, hail)
Iron fist to claim it all

Hail to the king, hail to the one
Kneel to the crown, stand in the sun

Hail to the king, hail to the one
Kneel to the crown, stand in the sun
Hail to the king!

Hail!
Hail!
Hail!"
1;(O)rdinary;Life Is But A Dream…;"Skull!

They all know
They all know

Sorry did I wake your dreams?
Some questions run too deep
We only only wake up when we sleep
Led by the lunar light, trouble's all we'd find
Lost our way tonight

Is it something we said?
Is it something we said to them?
Is it something we said?

Save me
I'm trapped in a vile world
Where the end game's all the same as every other
We're only here to die
Save me
I'm losing my only dream
I can use some guiding light, some place to go
If you hear me let me know

They all know
They all know

Ever since the day you left my fate's been set unknown
How many years to walk this path alone?
So much to see tonight, so why'd you close your eyes?
Why can't I shut mine?

Is it something we did?
Is it something we did to them?
Is it something we did?

Save me
I'm trapped in a vile world
Where the end game's all the same as every other
We're only here to die
Save me
I'm losing my only dream
I can use some guiding light, some place to go
If you hear me let me know, if you hear me let me know

Aaaah

Help me find my way
I said help me find my way
No pulse inside of me
Stone cold lips and heresy
All lies and to a degree
Losing who I wanna be

You'll find out right now

He may be out of his mind, but some day you will find
That sanity's left us all blind, and dragged us all behind
A moment seen through those eyes, crystal blue disguise
They say that all beauty must die, I say it just moves on

If you'd only open your mind, then someday you will find
Insanity left us behind, and walked right through the door
I can see the pictures clear as yesterday, pictures all my own
I can hear the voices begging you to stay, but know you're not alone

Save me
I'm trapped in a vile world
Where the end game's all the same as every other
We're only here to die
Save me
I'm losing my only dream
I can use some guiding light, some place to go
If you hear me let me know, if you hear me let me know

Tonight we all die young
Tonight we all die young
Tonight we all die young
Tonight we all die young
Tonight we all die young
Tonight we all die young
Tonight we all die
Tonight we all die young"
2;4:00 AM;Diamonds In The Rough;"Finished with my woman, 'cause she couldn't help me with my mind
People think I'm insane, because I am frowning all the time
All day long, I think of things, but nothing seems to satisfy
Think I'll lose my mind if I don't find something to pacify

Can you help me occupy my brain?
Oh, yeah

I need someone to show me the things in life that I can't find
I can't see the things that make true happiness, I must be blind

Make a joke and I will sigh, and you will laugh and I will cry
Happiness, I cannot feel and love to me is so unreal
And so, as you hear these words telling you now of my state
I tell you to enjoy life, I wish I could, but it's too late"
3;A Little Piece Of Heaven;Avenged Sevenfold;"You live your whole life staring at a wall
Your mind goes blank sooner now you will fall
You never learned the things you say to know now, but how?
There seems to be a difference, two different types of kids
The ones who go out and the ones who are taught to live
One group's taught how and the other group is taught why

There's no need to tell you what's in mind
But in the game of life I'm doing fine
No reason to tell you which way to be
The streets have opened my eyes to see

No reason to tell you what's in mind
But in the game of life I'm doing fine
No reason to tell you which way to be
The streets have opened my eyes to see!

Look what's happening now
What are the reasons why and how?
And don't you think it sounds stupid when someone's treated
Different 'cause they're not the same as me or you?

You live your whole life staring at a wall
Your mind goes blank sooner now you will fall
You never learned the things you say to know now, but how?
There seems to be a difference, two different types of kids
The ones who go out and the ones who are taught to live
One group's taught how and the other group is taught why

There's no need to tell you what's in mind
But in the game of life I'm doing fine
No reason to tell you which way to be
The streets have opened my eyes to see

No reason to tell you what's in mind
But in the game of life I'm doing fine
No reason to tell you which way to be
The streets have opened my eyes to see!"
4;Acid Rain;Hail To The King;"Open, blurry, nurture, loving
Crawling, walking, fleeting, glory
Welcome, brother, stranger, bloody
Ally, teacher, recess, buddy
Secret, toothless, fairy, pillow
Money, kissing, nervous, hero
Warmly ordinary

This daytime TV satisfies
Extra ordinary
These hand-me-downs worn in so nice

As it may, as it may, as it may, as it may
As it may, as it may, as it may, as it may
Days are fine and come on time
But years leave with nothing to find

Changes, hormones, high school, threesome
Roll call, study, license, freedom
Novice, flirting, first time, lover
Party, fighting, wasted, summer
Questions, doubtful, wedding, family
Happy, ever, after, dead end
Daily iteration

The bestest part of waking up
Mundane ideation
This dark roast got me (So fucked up)

As it may, as it may, as it may, as it may
As it may, as it may, as it may, as it may
Days, they come and days, they go
Until no more days set you free

Well on my way, my way to lose me
It strikes me that I don't belong here anymore
As I observe my own reflection, try a happy face
Staring through the warm tears, a sad frown from the cold years
Adieu, I never had the will anyway

Toss a rope over the branch and fall into the night
And here I swing, from my family tree
Say goodnight

Can't you see?
Life is but a dream anyway"
5;Afterlife;Avenged Sevenfold;"Gone, cast away in time
Evil yours, now evil mine
So, I robbed you blind
The voices in my head suggest a less-than-peaceful side
Of endless possibilities controlling nine-three-five

(You can't break me) Crush the fears of yesterday
(You can't save me) Barriers – our trust will fade
I've stood in the dark, been waiting all this time
While we damn the dead I'm trying to survive
I'm not ready to die

Damned, watch the masses fall
Burn it down, control 'em all
(Let 'em bleed) Make me crawl
To daddy's little girl to read the writings on the wall
While cast into the nothingness, the final curtain call

(You can't break me) Crush the fears of yesterday
(You can't save me) Barriers – our trust will fade
I've stood in the dark, been waiting all this time
While we damn the dead I'm trying to survive
I'm not ready to die

Through the madness we find
Loyalty is no match for power
Say goodbye to your life
Left to rot in your darkest hour
Prayers won't help you now
As long as you're mine

(You can't break me) Crush the fears of yesterday
(You can't save me) Barriers – our trust will fade
I've stood in the dark, been waiting all this time
While we damn the dead I'm trying to survive
I'll control the world
One person at a time
As I damn the dead I'm trying to survive
I'm not ready to die
Oh

I'm not ready to die
I'm not ready to die
I'm not ready to die
I'm not ready to die
Ready to die
Ready to die
Ready to die
Not ready to die"
6;Afterlife (Alternate Version);Diamonds In The Rough;"Never feared for anything
Never shamed but never free
A life that healed the broken heart with all that it could

Lived a life so endlessly
Saw beyond what others see
I tried to heal your broken heart with all that I could

Will you stay?
Will you stay away forever?

How do I live without the ones I love?
Time still turns the pages of the book it's burned
Place and time always on my mind
I have so much to say but you're so far away

Plans of what our futures hold
Foolish lies of growing old
It seems we're so invincible
The truth is so cold

A final song, a last request
A perfect chapter laid to rest
Now and then I try to find
A place in my mind
Where you can stay
You can stay awake forever

How do I live without the ones I love?
Time still turns the pages of the book it's burned
Place and time always on my mind
I have so much to say but you're so far away

Sleep tight, I'm not afraid (not afraid)
The ones that we love are here with me
Lay away a place for me (place for me)
'Cause as soon as I'm done I'll be on my way
To live eternally

How do I live without the ones I love?
Time still turns the pages of the book it's burned
Place and time always on my mind
And the light you left remains
But it's so hard to stay
When I have so much to say and you're so far away

I love you, you were ready
The pain is strong and urges rise
But I'll see you, when He lets me
Your pain is gone, your hands untied

So far away (so far)
And I need you to know
So far away (so far)
And I need you to, need you to know"
7;Almost Easy;Avenged Sevenfold;"Wake the ones and rise tonight
Fallen souls we shine so bright

Rise now and ever
Leave your memory

Rise now and ever
Leave your memory

No one can touch us"
8;Almost Easy (CLA Mix);Diamonds In The Rough;"[M. Shadows:]
Centuries passed and still the same
War in our blood, some things never change
Fighting for land and personal gain
Better your life, justify your pain
The end is knocking
The end is knocking

[M. Shadows & The Rev:]
We've all been lost for most of this life
(Lost for most of this life)
Everywhere we turn more hatred surrounds us
And I know that most of us just ain't right
(Most of us just ain't right)
Following the wrong steps, being led by pride

[M. Shadows:]
How many lives will we take
How many hearts destined to break
Nowhere to run, can't escape
Full of ourselves, tied to our fate
The end is knocking
The end is knocking, yeah

[M. Shadows & The Rev:]
We've all been lost for most of this life
(Lost for most of this life)
Everywhere we turn more hatred surrounds us
And I know that most of us just ain't right
(Most of us just ain't right)
Following the wrong steps, being led by pride

[M. Shadows:]
With peace of mind so hard to find
We're dwelling on the drastic signs
Another way to numb our mind
And as you close your eyes tonight
And pray for a better life
You'll see it flying helplessly away

[M. Shadows & The Rev:]
We've all been lost for most of this life
(Lost for most of this life)
Everywhere we turn more hatred surrounds us
And I know that most of us just ain't right
(Most of us just ain't right)
Following the wrong steps, being led by pride

[The Rev:]
(We've all been lost for most of this life
Everywhere we turn more hatred surrounds us
And I know that most of us just ain't right
Following the wrong steps, being led by pride

We've all been lost for most of this life
Everywhere we turn more hatred surrounds us
And I know that most of us just ain't right
Following the wrong steps, being led by pride)"
9;An Epic Of Time Wasted;Sounding The Seventh Trumpet;"In my dreams
I awake as daylight breaks and wash my face
Put my bedroom back in its place and tucked away
Write a note of a few things I want to say
And leave it on the fireplace
And in my dreams, another day

In my dreams
I stare out in the distance of the city scene
From way up here, it's so serene
There's nothing said
As I make myself more comfortable with the edge
I leap into the darkest night
Wind on my face, it satisfies
I never have felt so alive
And in my dreams, I fly away"
