Judul,year,album,type,url
(D)eath,2023,Life Is But A Dream…,album,http://www.azlyrics.com/lyrics/avengedsevenfold/death.html
(O)rdinary,2023,Life Is But A Dream…,album,http://www.azlyrics.com/lyrics/avengedsevenfold/ordinary.html
4:00 AM,2008,Diamonds In The Rough,compilation,http://www.azlyrics.com/lyrics/avengedsevenfold/400am.html
A Little Piece Of Heaven,2007,Avenged Sevenfold,album,http://www.azlyrics.com/lyrics/avengedsevenfold/alittlepieceofheaven.html
Acid Rain,2013,Hail To The King,album,http://www.azlyrics.com/lyrics/avengedsevenfold/acidrain.html
Afterlife,2007,Avenged Sevenfold,album,http://www.azlyrics.com/lyrics/avengedsevenfold/afterlife.html
Afterlife (Alternate Version),2008,Diamonds In The Rough,compilation,http://www.azlyrics.com/lyrics/avengedsevenfold/afterlifealternateversion.html
Almost Easy,2007,Avenged Sevenfold,album,http://www.azlyrics.com/lyrics/avengedsevenfold/almosteasy.html
Almost Easy (CLA Mix),2008,Diamonds In The Rough,compilation,http://www.azlyrics.com/lyrics/avengedsevenfold/almosteasyclamix.html
An Epic Of Time Wasted,2001,Sounding The Seventh Trumpet,album,http://www.azlyrics.com/lyrics/avengedsevenfold/anepicoftimewasted.html
And All Things Will End,2003,Waking The Fallen,album,http://www.azlyrics.com/lyrics/avengedsevenfold/andallthingswillend.html
Angels,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/angels.html
As Tears Go By,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/astearsgoby.html
Bat Country,2005,City Of Evil,album,http://www.azlyrics.com/lyrics/avengedsevenfold/batcountry.html
Beast And The Harlot,2005,City Of Evil,album,http://www.azlyrics.com/lyrics/avengedsevenfold/beastandtheharlot.html
Beautiful Morning,2023,Life Is But A Dream…,album,http://www.azlyrics.com/lyrics/avengedsevenfold/beautifulmorning.html
Betrayed,2005,City Of Evil,album,http://www.azlyrics.com/lyrics/avengedsevenfold/betrayed.html
Blinded In Chains,2005,City Of Evil,album,http://www.azlyrics.com/lyrics/avengedsevenfold/blindedinchains.html
Breaking Their Hold,2001,Sounding The Seventh Trumpet,album,http://www.azlyrics.com/lyrics/avengedsevenfold/breakingtheirhold.html
Brompton Cocktail,2007,Avenged Sevenfold,album,http://www.azlyrics.com/lyrics/avengedsevenfold/bromptoncocktail.html
Buried Alive,2010,Nightmare,album,http://www.azlyrics.com/lyrics/avengedsevenfold/buriedalive.html
Burn It Down,2005,City Of Evil,album,http://www.azlyrics.com/lyrics/avengedsevenfold/burnitdown.html
Carry On,2018,Black Reign,EP,http://www.azlyrics.com/lyrics/avengedsevenfold/carryon.html
Chapter Four,2003,Waking The Fallen,album,http://www.azlyrics.com/lyrics/avengedsevenfold/chapterfour.html
Clairvoyant Disease,2003,Waking The Fallen,album,http://www.azlyrics.com/lyrics/avengedsevenfold/clairvoyantdisease.html
Coming Home,2013,Hail To The King,album,http://www.azlyrics.com/lyrics/avengedsevenfold/cominghome.html
Cosmic,2023,Life Is But A Dream…,album,http://www.azlyrics.com/lyrics/avengedsevenfold/cosmic.html
Creating God,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/creatinggod.html
Crimson Day,2013,Hail To The King,album,http://www.azlyrics.com/lyrics/avengedsevenfold/crimsonday.html
Critical Acclaim,2007,Avenged Sevenfold,album,http://www.azlyrics.com/lyrics/avengedsevenfold/criticalacclaim.html
Crossroads,2008,Diamonds In The Rough,compilation,http://www.azlyrics.com/lyrics/avengedsevenfold/crossroads.html
Dancing Dead,2008,Diamonds In The Rough,compilation,http://www.azlyrics.com/lyrics/avengedsevenfold/dancingdead.html
Danger Line,2010,Nightmare,album,http://www.azlyrics.com/lyrics/avengedsevenfold/dangerline.html
Darkness Surrounding,2001,Sounding The Seventh Trumpet,album,http://www.azlyrics.com/lyrics/avengedsevenfold/darknesssurrounding.html
Dear God,2007,Avenged Sevenfold,album,http://www.azlyrics.com/lyrics/avengedsevenfold/deargod.html
Demons,2008,Diamonds In The Rough,compilation,http://www.azlyrics.com/lyrics/avengedsevenfold/demons.html
Desecrate Through Reverence,2003,Waking The Fallen,album,http://www.azlyrics.com/lyrics/avengedsevenfold/desecratethroughreverance.html
Doing Time,2013,Hail To The King,album,http://www.azlyrics.com/lyrics/avengedsevenfold/doingtime.html
Dose,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/dose.html
Easier,2023,Life Is But A Dream…,album,http://www.azlyrics.com/lyrics/avengedsevenfold/easier.html
Eternal Rest,2003,Waking The Fallen,album,http://www.azlyrics.com/lyrics/avengedsevenfold/eternalrest.html
Exist,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/exist.html
Fermi Paradox,2016,The Stage,album,http://www.azlyrics.com/lyrics/avengedsevenfold/fermiparadox.html
Fiction,2010,Nightmare,album,http://www.azlyrics.com/lyrics/avengedsevenfold/fiction.html
Flash Of The Blade,2008,Diamonds In The Rough,compilation,http://www.azlyrics.com/lyrics/avengedsevenfold/flashoftheblade.html
Forgotten Faces,2001,Sounding The Seventh Trumpet,album,http://www.azlyrics.com/lyrics/avengedsevenfold/forgottenfaces.html
